title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Volkswagen Multivan 2.0bi-tdi Comfortline L Dsg 180,21.900€,01/2013,132.000 km,180 cv en Ciudad Real,Automática secuencial,4 puertas,7,180 cv,Bronce,214 gr/m,Diesel,SÍ,Profesional,Combi,199 cm,529 cm,190 cm,0 l,191 km/h,"10,2 l","6,9 l","8,1 l",2.231 kg,80 l,"11,3 s"
Ford Transit Ft 350el Chasis Cabina Simple 125 Awd,8.177€,2013,156.544 km,125 cv en Cordoba,Manual,2 puertas,3,125 cv,Rojo,252 gr/m,Diesel,SÍ,Profesional,Chasis,202 cm,632 cm,197 cm,0 l,0 km/h,"11,2 l","8,6 l","9,6 l",1.888 kg,80 l,"0,0 s"
Ford Transit Ft 330s Mixto 140 Awd,10.190€,06/2010,143.520 km,140 cv,Manual,4 puertas,6,140 cv,Blanco,211 gr/m,Diesel,SÍ,Profesional,Combi,199 cm,486 cm,197 cm,0 l,0 km/h,"9,2 l","6,5 l","7,5 l",1.779 kg,80 l,"0,0 s"
Citroen Berlingo Furgón 1.6bluehdi 100,5.500€,2016,100.000 km,100 cv en Illes Balears,Manual,3 puertas,2,100 cv,Blanco,112 gr/m,Diesel,SÍ,Profesional,Furgon,180 cm,438 cm,181 cm,0 l,163 km/h,"5,1 l","3,8 l","4,3 l",1.367 kg,60 l,"11,8 s"
Renault Kangoo 1.5dci Base 60,2.900€,01/2008,136.370 km,60 cv,Manual,5 puertas,4,60 cv,Gris,144 gr/m,Diesel,SÍ,Profesional,Combi,180 cm,404 cm,167 cm,650 l,140 km/h,"6,0 l","5,2 l","5,4 l",1.110 kg,50 l,"17,9 s"
Volkswagen Caddy 1.6tdi Bmt Tramper 102,7.999€,2015,107.362 km,102 cv en Alicante,Manual,5 puertas,5,102 cv,Blanco,134 gr/m,Diesel,SÍ,Profesional,Combi,182 cm,441 cm,179 cm,0 l,168 km/h,"6,6 l","5,2 l","5,7 l",1.538 kg,60 l,"8,5 s"
Mercedes Sprinter Furgón 314cdi Largo T.e,19.215€,2018,39.424 km,143 cv en Sevilla,Manual,4 puertas,3,143 cv,Blanco,202 gr/m,Diesel,SÍ,Profesional,Furgon,244 cm,696 cm,199 cm,0 l,0 km/h,"9,3 l","6,4 l","7,5 l",2.230 kg,75 l,"0,0 s"
Renault Master Fg. Dci 92 T L1h1 3500,10.550€,06/2015,138.821 km,125 cv en Barcelona,Manual,4 puertas,3,125 cv,Gris,216 gr/m,Diesel,SÍ,Profesional,Furgon,231 cm,505 cm,207 cm,0 l,0 km/h,"9,2 l","7,6 l","8,2 l",1.816 kg,80 l,"0,0 s"
Mercedes Sprinter Furgón 314cdi Largo T.e,19.215€,2018,42.442 km,143 cv en Sevilla,Manual,4 puertas,3,143 cv,Blanco,202 gr/m,Diesel,SÍ,Profesional,Furgon,244 cm,696 cm,199 cm,0 l,0 km/h,"9,3 l","6,4 l","7,5 l",2.230 kg,75 l,"0,0 s"
Mercedes Sprinter Furgón 314cdi Largo T.e,19.215€,2018,29.734 km,143 cv en Sevilla,Manual,4 puertas,3,143 cv,Blanco,202 gr/m,Diesel,SÍ,Profesional,Furgon,244 cm,696 cm,199 cm,0 l,0 km/h,"9,3 l","6,4 l","7,5 l",2.230 kg,75 l,"0,0 s"
Mercedes Vito Furgón 111cdi Larga,16.488€,2019,34.215 km,114 cv en Sevilla,Manual,4 puertas,2,114 cv,Blanco,169 gr/m,Diesel,SÍ,Profesional,Furgon,191 cm,514 cm,193 cm,0 l,0 km/h,"7,9 l","5,6 l","6,4 l",1.761 kg,57 l,"0,0 s"
Mercedes Vito Furgón 111cdi Larga,16.488€,2019,44.267 km,114 cv en Sevilla,Manual,4 puertas,2,114 cv,Blanco,169 gr/m,Diesel,SÍ,Profesional,Furgon,191 cm,514 cm,193 cm,0 l,0 km/h,"7,9 l","5,6 l","6,4 l",1.761 kg,57 l,"0,0 s"
"Fiat Talento Combi 1.6 Ecojet Tt Base L 1,2 92kw",16.488€,2019,19.384 km,125 cv en Sevilla,Manual,4 puertas,6,125 cv,Gris,145 gr/m,Diesel,SÍ,Profesional,Combi,197 cm,540 cm,196 cm,0 l,169 km/h,"6,4 l","5,1 l","5,6 l",1.924 kg,80 l,"0,0 s"
Iveco Daily Furgón 35s16 V 3520l H2 12.0 156,14.989€,2018,63.100 km,"156 cv en Coruña, A",Manual,4 puertas,3,156 cv,Blanco,205 gr/m,Diesel,SÍ,Profesional,Furgon,258 cm,600 cm,201 cm,0 l,190 km/h,"8,5 l","7,4 l","7,8 l",2.235 kg,90 l,"0,0 s"
Iveco Daily Furgón 35c16 V 3520l H2 12.0 156,14.900€,2018,71.300 km,"156 cv en Coruña, A",Manual,4 puertas,3,156 cv,Blanco,205 gr/m,Diesel,SÍ,Profesional,Furgon,258 cm,600 cm,201 cm,0 l,190 km/h,"8,5 l","7,4 l","7,8 l",2.235 kg,90 l,"0,0 s"
Mercedes Vito Tourer 114 Cdi Pro Larga,21.405€,06/2018,40.000 km,136 cv en Barcelona,Manual,4 puertas,8,136 cv,Gris indio,168 gr/m,Diesel,SÍ,Profesional,Combi,189 cm,514 cm,193 cm,0 l,0 km/h,"8,1 l","5,4 l","6,4 l",1.976 kg,57 l,"0,0 s"
Citroen Jumpy Combi Bluehdi Talla M Confort 120 S&s,18.900€,2020,6.851 km,120 cv en Malaga,Manual,4 puertas,9,120 cv,Blanco,128 gr/m,Diesel,SÍ,Profesional,Combi,189 cm,496 cm,192 cm,507 l,160 km/h,"5,2 l","4,6 l","4,8 l",2.040 kg,69 l,"13,4 s"
Mercedes Sprinter Furgón 314cdi Medio T.e. Td,24.711€,2019,58 km,143 cv en Sevilla,Manual,4 puertas,3,143 cv,Blanco,217 gr/m,Diesel,SÍ,Profesional,Furgon,264 cm,593 cm,218 cm,0 l,0 km/h,"10,6 l","5,7 l","8,2 l",2.090 kg,71 l,"0,0 s"
Mercedes Vito Mixto 114cdi Compacta,19.900€,12/2017,26.000 km,136 cv en Malaga,Manual,4 puertas,5,136 cv,Azul,179 gr/m,Diesel,SÍ,Profesional,Combi,191 cm,490 cm,193 cm,0 l,0 km/h,"8,8 l","5,7 l","6,8 l",1.800 kg,57 l,"0,0 s"
Fiat Ducato Fg. 35 2.0mjt Lpegr Corto 85kw,12.990€,2017,66.000 km,115 cv en Barcelona,Manual,4 puertas,3,115 cv,Blanco,157 gr/m,Diesel,SÍ,Profesional,Furgon,225 cm,496 cm,205 cm,0 l,148 km/h,"7,6 l","4,1 l","5,9 l",1.845 kg,90 l,"0,0 s"
Volkswagen Transporter Furgón Pro 2.0tdi Bmt Largo T.normal 114,10.990€,2015,240.000 km,114 cv en Barcelona,Manual,4 puertas,3,114 cv,Blanco,176 gr/m,Diesel,SÍ,Profesional,Furgon,199 cm,529 cm,190 cm,0 l,163 km/h,"8,3 l","5,8 l","6,7 l",1.940 kg,80 l,"0,0 s"
Dacia Dokker Comercial Dokker Van 1.5dci Ambiance 55kw,6.000€,2018,102.000 km,75 cv en Madrid,Manual,4 puertas,2,75 cv,Blanco,108 gr/m,Diesel,SÍ,Profesional,Furgon,181 cm,436 cm,175 cm,0 l,150 km/h,"5,2 l","4,1 l","4,5 l",1.189 kg,50 l,"15,9 s"
Peugeot Partner Tepee 1.6bluehdi Style 120,14.900€,2016,58.550 km,120 cv en Barcelona,Manual,5 puertas,5,120 cv,Gris,115 gr/m,Diesel,SÍ,Profesional,Combi,180 cm,438 cm,181 cm,0 l,176 km/h,"4,9 l","4,2 l","4,4 l",1.398 kg,60 l,"11,4 s"
Fiat Dobló Cargo 1.3mjt Base 66kw E5+,4.876€,2016,58.000 km,90 cv en Madrid,Manual,3 puertas,2,90 cv,Blanco,133 gr/m,Diesel,SÍ,Profesional,Furgon,185 cm,441 cm,183 cm,0 l,158 km/h,"6,5 l","4,2 l","5,0 l",1.320 kg,60 l,"0,0 s"
Mercedes Vito 111cdi L Extralarga,7.500€,2005,204.000 km,109 cv en Madrid,Manual,4 puertas,9,109 cv,Azul,235 gr/m,Diesel,No,Particular,Combi,190 cm,522 cm,190 cm,0 l,0 km/h,"11,9 l","7,2 l","8,9 l",2.100 kg,75 l,"0,0 s"
