title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Peugeot 5008 1.6 Bluehdi Allure 7 Pl. 120,10.990€,06/2016,174.000 km,120 cv en Zaragoza,Manual,5 puertas,7,120 cv,Blanco,113 gr/m,Diesel,SÍ,Profesional,Monovolumen,165 cm,453 cm,184 cm,823 l,183 km/h,"4,9 l","4,0 l","4,3 l",1.565 kg,60 l,"12,3 s"
Seat Altea Xl 1.6tdi Cr S&s Style E-eco.,6.850€,10/2010,120.000 km,105 cv en Barcelona,Manual,5 puertas,5,105 cv,Blanco,119 gr/m,Diesel,SÍ,Profesional,Monovolumen,158 cm,447 cm,177 cm,532 l,183 km/h,"5,2 l","4,1 l","4,5 l",1.480 kg,55 l,"12,4 s"
Ford C-max C-max 1.5tdci Business 120,11.900€,01/2017,74.842 km,120 cv en Sevilla,Manual,5 puertas,5,120 cv,Blanco,110 gr/m,Diesel,SÍ,Profesional,Monovolumen,161 cm,438 cm,183 cm,471 l,184 km/h,"4,7 l","3,7 l","4,1 l",1.328 kg,53 l,"11,3 s"
Mercedes Clase V V 220d Largo Avantgarde,43.900€,2019,48.000 km,163 cv en Barcelona,Automática secuencial,4 puertas,6,163 cv,Negro,157 gr/m,Diesel,SÍ,Profesional,Monovolumen,188 cm,514 cm,193 cm,1.030 l,195 km/h,"6,2 l","5,9 l","6,0 l",2.152 kg,70 l,"11,0 s"
Mercedes Clase V V 220d Marco Polo 7g-tronic,38.800€,03/2018,34.182 km,163 cv en Navarra,Automática secuencial,5 puertas,5,163 cv,Negro,164 gr/m,Diesel,SÍ,Profesional,Monovolumen,198 cm,514 cm,193 cm,0 l,194 km/h,"7,6 l","5,5 l","6,3 l",2.390 kg,57 l,"12,3 s"
Fiat 500l 500l 1.3mjt Ii S&s Mirror,15.990€,02/2021,1 km,95 cv en Zaragoza,Manual,5 puertas,5,95 cv,Blanco gelato (sólida),113 gr/m,Diesel,SÍ,Profesional,Monovolumen,168 cm,428 cm,180 cm,412 l,166 km/h,"4,9 l","3,6 l","4,5 l",1.420 kg,50 l,"14,8 s"
Opel Zafira 2.2dti 16v Elegance,2.000€,2003,316.000 km,125 cv en Madrid,Manual,5 puertas,7,125 cv,Rojo,0 gr/m,Diesel,SÍ,Profesional,Monovolumen,163 cm,432 cm,174 cm,0 l,0 km/h,"8,8 l","5,8 l","6,9 l",1.570 kg,58 l,"11,5 s"
Mercedes Viano 2.0cdi Ambiente Compacta,17.900€,2008,145.000 km,116 cv en Barcelona,Manual,4 puertas,6,116 cv,Gris,218 gr/m,Diesel,No,Particular,Monovolumen,188 cm,475 cm,190 cm,430 l,164 km/h,"11,5 l","7,1 l","8,8 l",2.065 kg,75 l,"16,2 s"
Ford C-max Grand C-max 2.0tdci Titanium,9.499€,2011,139.000 km,140 cv en Palencia,Manual,5 puertas,5,140 cv,Blanco,134 gr/m,Diesel,SÍ,Profesional,Monovolumen,168 cm,452 cm,183 cm,439 l,200 km/h,"6,6 l","4,5 l","5,3 l",1.575 kg,60 l,"10,1 s"
Fiat 500l 500l 1.3mjt Ii S&s 85,11.900€,06/2013,88.439 km,85 cv en Almeria,Manual,5 puertas,5,85 cv,Gris,110 gr/m,Diesel,SÍ,Profesional,Monovolumen,167 cm,415 cm,178 cm,343 l,165 km/h,"5,0 l","3,7 l","4,2 l",1.315 kg,50 l,"14,9 s"
Mercedes Clase B B 180 7g-dct,17.900€,07/2017,124.000 km,122 cv en Almeria,Automática secuencial,5 puertas,5,122 cv,Blanco,127 gr/m,Gasolina,SÍ,Profesional,Monovolumen,156 cm,439 cm,179 cm,488 l,200 km/h,"7,0 l","4,6 l","5,5 l",1.425 kg,50 l,"8,7 s"
Mercedes Clase B B 180d 7g-dct,27.900€,04/2019,20.237 km,116 cv en Almeria,Automática secuencial,5 puertas,5,116 cv,Azul,101 gr/m,Diesel,SÍ,Profesional,Monovolumen,156 cm,442 cm,180 cm,455 l,200 km/h,"5,2 l","2,8 l","3,8 l",1.385 kg,43 l,"10,7 s"
Mercedes Clase B B 200d 8g-dct,28.900€,05/2019,30.806 km,150 cv en Almeria,Automática secuencial,5 puertas,5,150 cv,Gris,116 gr/m,Diesel,SÍ,Profesional,Monovolumen,156 cm,442 cm,180 cm,455 l,219 km/h,"5,7 l","3,1 l","4,4 l",1.535 kg,43 l,"8,3 s"
Seat Alhambra 2.0 Stella,3.990€,06/2001,68.000 km,115 cv en Zaragoza,Manual,5 puertas,7,115 cv,Azul,0 gr/m,Gasolina,SÍ,Profesional,Monovolumen,171 cm,463 cm,181 cm,0 l,0 km/h,"12,9 l","7,5 l","9,5 l",1.645 kg,70 l,"15,2 s"
Daewoo Matiz 0.8 City,1.000€,2004,180.000 km,"51 cv en Palmas, Las",Manual,5 puertas,5,51 cv,Gris,144 gr/m,Gasolina,No,Particular,Monovolumen,149 cm,350 cm,150 cm,145 l,144 km/h,"8,3 l","5,2 l","6,4 l",835 kg,38 l,"17,6 s"
Volkswagen Touran 1.6tdi Advance Dsg 105,13.999€,2011,204.000 km,105 cv en Almeria,Automática secuencial,5 puertas,5,105 cv,Negro,132 gr/m,Diesel,No,Particular,Monovolumen,167 cm,440 cm,179 cm,695 l,183 km/h,"6,0 l","4,5 l","5,1 l",1.557 kg,60 l,"12,8 s"
