title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Mazda Mx-5 Mx-5 1.6 16v Exclusive,5.500€,2001,143.000 km,110 cv en Valencia,Manual,2 puertas,2,110 cv,Rojo,0 gr/m,Gasolina,No,Particular,Roadster,0 cm,0 cm,168 cm,0 l,0 km/h,"10,6 l","6,6 l","8,1 l",1.015 kg,0 l,"9,7 s"
Mercedes Clase Slk Slk 200 Kompressor,5.000€,2001,192.000 km,163 cv en Illes Balears,Manual,2 puertas,2,163 cv,Plateado,0 gr/m,Gasolina,No,Particular,Roadster,126 cm,401 cm,172 cm,0 l,0 km/h,"14,1 l","7,3 l","9,8 l",1.365 kg,60 l,"8,2 s"
Mercedes Clase Cla Cla 200d,28.500€,2018,40.000 km,136 cv en Lleida,Automática,4 puertas,5,136 cv,Rojo,114 gr/m,Diesel,No,Particular,Coupe,143 cm,464 cm,178 cm,470 l,220 km/h,"5,5 l","3,7 l","4,4 l",1.500 kg,50 l,"9,5 s"
Ford Puma 1.4 16v,1.350€,1999,255.400 km,90 cv en Barcelona,Manual,2 puertas,4,90 cv,Gris,0 gr/m,Gasolina,No,Particular,Coupe,134 cm,398 cm,184 cm,0 l,0 km/h,"7,9 l","5,0 l","6,4 l",1.100 kg,0 l,"11,9 s"
Mini Mini Cooper S Cabrio,13.750€,2008,55.210 km,170 cv en Leon,Manual,2 puertas,4,170 cv,Blanco,199 gr/m,Gasolina,No,Particular,Convertible,142 cm,364 cm,169 cm,120 l,215 km/h,"11,3 l","6,6 l","8,3 l",1.240 kg,50 l,"7,2 s"
Mercedes Clase Slk Slk 230 K,6.200€,1999,150.000 km,193 cv en Madrid,Manual,2 puertas,2,193 cv,Gris,0 gr/m,Gasolina,No,Particular,Roadster,129 cm,400 cm,172 cm,0 l,0 km/h,"10,8 l","5,9 l","8,1 l",1.250 kg,0 l,"7,4 s"
Mercedes Clase Slk Slk 200k,12.750€,2005,78.500 km,163 cv en Valencia,Manual,2 puertas,2,163 cv,Gris,209 gr/m,Gasolina,No,Particular,Roadster,130 cm,409 cm,178 cm,208 l,230 km/h,"12,6 l","6,5 l","8,7 l",1.390 kg,70 l,"8,1 s"
Jeep Wrangler 2.5 Sport Techo Lona,18.900€,2004,45.000 km,147 cv en Illes Balears,Manual,3 puertas,4,147 cv,Negro,248 gr/m,Gasolina,No,Particular,Convertible,0 cm,0 cm,0 cm,0 l,0 km/h,"14,0 l","8,6 l","10,6 l",1.467 kg,72 l,"0,0 s"
Peugeot 308 Cc 2.0hdi Sport Pack,9.500€,2010,100.500 km,140 cv en Barcelona,Manual,2 puertas,4,140 cv,Gris,155 gr/m,Diesel,No,Particular,Convertible,142 cm,444 cm,182 cm,226 l,208 km/h,"7,8 l","4,8 l","5,9 l",1.599 kg,60 l,"11,1 s"
Audi A5 Coupé 1.8 Tfsi,9.200€,2008,270.000 km,170 cv en Alicante,Manual,2 puertas,4,170 cv,Blanco,169 gr/m,Gasolina,No,Particular,Coupe,137 cm,463 cm,185 cm,455 l,228 km/h,"9,9 l","5,5 l","7,1 l",1.470 kg,65 l,"8,4 s"
