title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Fiat 500 1.2 S,11.500€,02/2020,7.486 km,69 cv en Malaga,Manual,3 puertas,4,69 cv,Azul,116 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,6 l","5,2 l",865 kg,35 l,"12,9 s"
Fiat 500 1.2 S,11.500€,02/2020,8.781 km,69 cv en Malaga,Manual,3 puertas,4,69 cv,Gris,116 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,6 l","5,2 l",865 kg,35 l,"12,9 s"
Abarth 500 Abarth 595 1.4t-jet Competizione Secuencial,27.450€,11/2020,NUEVO,135 cv en Castellon,Automática secuencial,3 puertas,4,135 cv,Nero scorpione metallizzato,151 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,366 cm,163 cm,185 l,165 km/h,"8,0 l","5,3 l","6,3 l",1.035 kg,35 l,"0,0 s"
Fiat 500 1.2 Lounge,11.700€,04/2019,27.812 km,69 cv en Valencia,Manual,3 puertas,4,69 cv,Blanco,115 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,3 l","5,1 l",865 kg,35 l,"12,9 s"
Fiat Panda 1.2 Dynamic,3.500€,2004,90.000 km,60 cv en Girona,Manual,5 puertas,4,60 cv,Azul,133 gr/m,Gasolina,SÍ,Profesional,Berlina,154 cm,354 cm,158 cm,206 l,155 km/h,"7,1 l","4,8 l","5,6 l",860 kg,35 l,"14,0 s"
Mitsubishi Space Star 120 Mpi Motion,11.550€,07/2020,4.784 km,80 cv en Barcelona,Manual,5 puertas,5,80 cv,Rojo wine,105 gr/m,Gasolina,SÍ,Profesional,Berlina,151 cm,385 cm,167 cm,209 l,180 km/h,"5,1 l","4,3 l","4,6 l",875 kg,35 l,"12,6 s"
Peugeot 108 1.0 Vti S&s Allure 72,10.690€,08/2020,0 km,72 cv en Cadiz,Manual,5 puertas,4,72 cv,Rojo,85 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,348 cm,162 cm,180 l,160 km/h,"4,3 l","3,4 l","3,7 l",915 kg,35 l,"13,8 s"
Kia Picanto 1.0 Cvvteco-dynamics Concept,7.190€,07/2019,24.207 km,67 cv en Toledo,Manual,5 puertas,4,67 cv,Rojo,101 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,360 cm,160 cm,255 l,161 km/h,"5,8 l","4,5 l","5,0 l",860 kg,35 l,"14,3 s"
Kia Picanto 1.0 Cvvteco-dynamics Concept,7.190€,06/2019,23.919 km,67 cv en Toledo,Manual,5 puertas,4,67 cv,Blanco,101 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,360 cm,160 cm,255 l,161 km/h,"5,8 l","4,5 l","5,0 l",860 kg,35 l,"14,3 s"
Toyota Aygo 1.0 Vvt-i X-play,8.500€,09/2017,30.971 km,69 cv en Albacete,Manual,5 puertas,4,69 cv,Blanco,95 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,346 cm,162 cm,168 l,160 km/h,"5,0 l","3,6 l","4,1 l",855 kg,35 l,"14,2 s"
