title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Volkswagen T-roc T-roc 2.0tdi Sport 4motion Dsg7,28.680€,2019,16.652 km,150 cv en Madrid,Automática secuencial,5 puertas,5,150 cv,Gris,123 gr/m,Diesel,SÍ,Profesional,Todo Terreno,157 cm,423 cm,182 cm,365 l,200 km/h,"6,0 l","4,2 l","4,9 l",1.505 kg,55 l,"8,7 s"
Peugeot 3008 1.5bluehdi Allure S&s 130,24.700€,2020,NUEVO,130 cv en Madrid,Manual,5 puertas,5,130 cv,Blanco,101 gr/m,Diesel,SÍ,Profesional,Todo Terreno,162 cm,445 cm,184 cm,520 l,192 km/h,"4,8 l","3,9 l","4,3 l",1.492 kg,53 l,"0,0 s"
Renault Kadjar 1.6dci Energy Zen 96kw,15.900€,2017,119.000 km,130 cv en Pontevedra,Manual,5 puertas,5,130 cv,Rojo,113 gr/m,Diesel,SÍ,Profesional,Todo Terreno,161 cm,445 cm,184 cm,472 l,190 km/h,"5,0 l","3,9 l","4,3 l",1.415 kg,55 l,"9,9 s"
Volkswagen Tiguan 2.0tdi Sport Dsg 110kw,33.080€,2019,22.443 km,150 cv en Madrid,Automática secuencial,5 puertas,5,150 cv,Blanco,126 gr/m,Diesel,SÍ,Profesional,Todo Terreno,163 cm,449 cm,184 cm,615 l,202 km/h,"6,5 l","3,5 l","5,0 l",1.615 kg,58 l,"9,3 s"
Seat León X-perience 1.4 Tsi S&s 125,16.900€,12/2016,45.945 km,125 cv en Burgos,Manual,5 puertas,5,125 cv,Azul,122 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,148 cm,454 cm,182 cm,587 l,200 km/h,"6,8 l","4,4 l","5,3 l",1.263 kg,50 l,"9,7 s"
Ford Kuga 2.0tdci Auto S&s Titanium 4x2 150,16.900€,2017,47.124 km,150 cv en Tarragona,Manual,5 puertas,5,150 cv,Gris,120 gr/m,Diesel,SÍ,Profesional,Todo Terreno,169 cm,452 cm,184 cm,456 l,194 km/h,"5,4 l","4,3 l","4,7 l",1.614 kg,60 l,"10,1 s"
Citroen C5 Aircross Hybrid Feel Eat8,34.600€,2020,NUEVO,225 cv en Toledo,Automática secuencial,5 puertas,5,225 cv,Gris,36 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,165 cm,450 cm,197 cm,580 l,0 km/h,"0,0 l","0,0 l","1,7 l",1.505 kg,53 l,"0,0 s"
Opel Crossland X 1.2t S&s Design Line - 120 Aniversario 110,14.995€,2019,8.399 km,110 cv en Valencia,Manual,5 puertas,5,110 cv,Blanco,108 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,161 cm,421 cm,177 cm,410 l,187 km/h,"5,4 l","4,3 l","4,7 l",1.159 kg,45 l,"10,9 s"
Seat Ateca 1.5 Ecotsi S&s X-perience Go,25.800€,01/2021,10 km,150 cv en Barcelona,Manual,5 puertas,5,150 cv,Gris rodium (metalizado),131 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,160 cm,438 cm,184 cm,510 l,200 km/h,"6,5 l","5,3 l","5,7 l",1.400 kg,50 l,"8,5 s"
Mercedes Clase Gle Gle 300d 4matic Aut.,68.700€,02/2021,0 km,245 cv en Sevilla,Automática secuencial,5 puertas,5,245 cv,Negro obsidiana,161 gr/m,Diesel,SÍ,Profesional,Todo Terreno,177 cm,492 cm,195 cm,630 l,225 km/h,"7,9 l","4,3 l","6,1 l",2.165 kg,85 l,"7,2 s"
