title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Seat León 1.5 Ecotsi S&s Xcellence 150,16.990€,02/2020,19.875 km,150 cv en Castellon,Manual,5 puertas,5,150 cv,Blanco,110 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,428 cm,182 cm,380 l,215 km/h,"6,1 l","4,1 l","4,8 l",1.243 kg,50 l,"8,2 s"
Seat León 1.5 Ecotsi S&s Xcellence 150,16.990€,02/2020,19.921 km,150 cv en Castellon,Manual,5 puertas,5,150 cv,Negro,110 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,428 cm,182 cm,380 l,215 km/h,"6,1 l","4,1 l","4,8 l",1.243 kg,50 l,"8,2 s"
Volvo S40 2.0d Kinetic,4.200€,01/2006,224.000 km,136 cv en Valencia,Manual,4 puertas,5,136 cv,Azul,148 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,447 cm,177 cm,404 l,210 km/h,"7,5 l","4,5 l","5,6 l",1.371 kg,55 l,"9,5 s"
Audi A1 Sportback 1.6tdi Attraction,12.800€,2016,110.000 km,"116 cv en Coruña, A",Manual,5 puertas,5,116 cv,Gris,97 gr/m,Diesel,SÍ,Profesional,Berlina,142 cm,397 cm,175 cm,270 l,200 km/h,"4,3 l","3,1 l","3,7 l",1.250 kg,45 l,"9,5 s"
Renault Mégane 1.2 Tce Energy Limited S&s 115,9.990€,2015,89.000 km,115 cv en Granada,Manual,5 puertas,5,115 cv,Azul,119 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,430 cm,181 cm,405 l,185 km/h,"6,4 l","4,6 l","5,3 l",1.205 kg,60 l,"10,9 s"
Citroen C3 1.2 Puretech S&s Shine 110,11.999€,04/2019,20.623 km,110 cv,Manual,5 puertas,5,110 cv,Gris,108 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,400 cm,175 cm,300 l,188 km/h,"5,5 l","4,0 l","4,6 l",1.125 kg,45 l,"9,3 s"
Hyundai I20 I20 1.2 Mpi Essence Le,9.500€,05/2019,9.200 km,75 cv en Vizcaya,Manual,5 puertas,5,75 cv,Champion blue,130 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,404 cm,173 cm,326 l,160 km/h,"7,1 l","4,8 l","5,7 l",1.040 kg,50 l,"13,6 s"
Suzuki Swift 1.2 Mild Hybrid Evap Gle,13.300€,2020,NUEVO,90 cv en Valladolid,Manual,5 puertas,5,90 cv,Amarillo,94 gr/m,Híbrido,SÍ,Profesional,Berlina,150 cm,384 cm,174 cm,265 l,180 km/h,"4,5 l","3,7 l","4,0 l",850 kg,37 l,"11,9 s"
Audi A3 Sportback 1.5 Tfsi Cod Evo Design Ed. S-t 110kw,23.400€,06/2018,15.087 km,150 cv en Almeria,Automática secuencial,5 puertas,5,150 cv,Rojo,113 gr/m,Gasolina,SÍ,Profesional,Berlina,143 cm,431 cm,179 cm,380 l,220 km/h,"6,2 l","4,3 l","5,0 l",1.240 kg,50 l,"8,2 s"
Opel Corsa -e Elegance-e,23.900€,02/2020,1.900 km,136 cv en Madrid,Automática secuencial,5 puertas,5,136 cv,Blanco,0 gr/m,Eléctrico,SÍ,Profesional,Berlina,144 cm,406 cm,177 cm,309 l,150 km/h,"0,0 l","0,0 l","0,0 l",0 kg,0 l,"8,1 s"
Mercedes Clase A A 220 7g-dct,29.661€,2019,20 km,190 cv en Madrid,Automática secuencial,5 puertas,5,190 cv,Negro,139 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,442 cm,180 cm,345 l,240 km/h,"8,1 l","5,1 l","6,1 l",1.450 kg,51 l,"6,9 s"
Fiat Tipo 1.3 Multijet Ii Easy,10.900€,07/2018,43.000 km,95 cv en Huelva,Manual,5 puertas,5,95 cv,Marrón,111 gr/m,Diesel,SÍ,Profesional,Berlina,150 cm,437 cm,179 cm,440 l,181 km/h,"5,3 l","3,6 l","4,2 l",1.300 kg,50 l,"12,5 s"
