title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Peugeot 508 Hybrid 225 Gt Line E-eat8,29.590€,02/2020,14.577 km,224 cv en Toledo,Automática secuencial,5 puertas,5,224 cv,Blanco,35 gr/m,Híbrido,SÍ,Profesional,Berlina,140 cm,475 cm,186 cm,487 l,240 km/h,"0,0 l","0,0 l","1,4 l",1.720 kg,43 l,"8,1 s"
Hyundai Terracan 2.9crdi,3.200€,01/2004,317.962 km,150 cv,Manual,5 puertas,5,150 cv,Azul,0 gr/m,Diesel,SÍ,Profesional,Todo Terreno,180 cm,471 cm,186 cm,0 l,0 km/h,"10,5 l","7,5 l","8,6 l",2.005 kg,75 l,"13,7 s"
Peugeot Partner Tepee 1.6hdi Premium 90,4.999€,2008,119.543 km,90 cv en Sevilla,Manual,4 puertas,5,90 cv,Gris,154 gr/m,Diesel,SÍ,Profesional,Combi,180 cm,438 cm,181 cm,0 l,160 km/h,"7,0 l","5,0 l","5,7 l",1.482 kg,60 l,"14,3 s"
Bmw Serie 3 320ia,28.900€,2019,29.411 km,184 cv en Madrid,Automática secuencial,4 puertas,5,184 cv,Gris,124 gr/m,Gasolina,SÍ,Profesional,Berlina,144 cm,471 cm,183 cm,480 l,235 km/h,"6,6 l","4,8 l","5,5 l",1.460 kg,59 l,"7,1 s"
Seat Ibiza 1.0 Ecotsi S&s Style 95,9.900€,2017,10.200 km,95 cv en Madrid,Manual,5 puertas,5,95 cv,Blanco,101 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,406 cm,169 cm,292 l,187 km/h,"5,1 l","3,8 l","4,3 l",1.095 kg,45 l,"10,4 s"
Lexus Gs Gs 300h Executive,21.900€,05/2016,109.256 km,223 cv,Automática secuencial,4 puertas,5,223 cv,Gris,110 gr/m,Híbrido,SÍ,Profesional,Berlina,146 cm,485 cm,184 cm,482 l,190 km/h,"6,2 l","3,3 l","4,8 l",1.730 kg,66 l,"9,1 s"
Lexus Gs Gs 300h Executive,21.900€,05/2016,109.256 km,"223 cv en Palmas, Las",Automática secuencial,4 puertas,5,223 cv,Gris,110 gr/m,Híbrido,SÍ,Profesional,Berlina,146 cm,485 cm,184 cm,482 l,190 km/h,"6,2 l","3,3 l","4,8 l",1.730 kg,66 l,"9,1 s"
Audi Q2 2.0tdi Sport Edition Q. S Tronic 140kw,22.490€,2017,77.400 km,190 cv en Pontevedra,Automática secuencial,5 puertas,5,190 cv,Gris,132 gr/m,Diesel,SÍ,Profesional,Todo Terreno,151 cm,419 cm,179 cm,405 l,218 km/h,"5,9 l","4,6 l","5,1 l",1.480 kg,50 l,"7,3 s"
Chrysler Stratus 2.0 Le Aut.,700€,04/2000,242.560 km,133 cv,Automática,4 puertas,5,133 cv,Negro,0 gr/m,Gasolina,SÍ,Profesional,Berlina,137 cm,475 cm,182 cm,0 l,0 km/h,"11,3 l","6,4 l","8,5 l",1.350 kg,0 l,"12,8 s"
Volkswagen Caravelle Comercial Caravelle 2.0tdi Bmt Trendline Ed. Dsg,27.895€,04/2019,20.919 km,140 cv en Valencia,Automática secuencial,4 puertas,7,140 cv,H4h4 - marrÓn cartago metaliza,198 gr/m,Diesel,SÍ,Profesional,Combi,199 cm,489 cm,190 cm,0 l,172 km/h,"10,4 l","6,9 l","8,2 l",1.525 kg,80 l,"14,7 s"
